ss_number,first_name,last_name,email,birthday,gender,city,sys,dia,overweight
6703829381,Ingeborg,Roos,iroosr@patch.com,12/9/1970,Female,Madrid,99.1218,93,true
7036803819,Walton,Edwicke,wedwickes@over-blog.com,12/1/1948,Male,Sevilla,119.0058,85,false
6303043321,Aldwin,Arend,aarendt@census.gov,4/16/1952,Male,Bilbao,77.5162,91,true
9102170205,Nevsa,Elt,neltu@hc360.com,11/15/1964,Female,Valencia,162.276,73,true
5067254572,Val,McIleen,vmcileenv@github.com,1/10/1941,Male,Valencia,97.6109,75,false
6231826015,Moise,Dimitriev,mdimitrievw@i2i.jp,6/29/1960,Male,Bilbao,116.7947,60,true
8175031174,Glendon,Froude,gfroudex@netlog.com,3/30/1970,Male,Madrid,101.466,117,false
4827185913,Dugald,Jeffes,djeffesy@yandex.ru,2/28/1966,Male,Valencia,132.4373,77,true
1535136979,Pascal,Paddemore,ppaddemorez@list-manage.com,5/29/1972,Male,Valencia,106.8681,115,true
7427894383,Russell,Theseira,rtheseira10@goo.ne.jp,9/17/1973,Male,Madrid,164.0414,94,true
8602201486,Bobbee,Abbess,babbess11@utexas.edu,,Female,Madrid,99.0588,101,true
4824280079,Colas,Petofi,cpetofi12@bloglines.com,9/30/1952,Male,Sevilla,108.6267,94,true
0961598727,Mario,Pinnick,mpinnick13@elpais.com,6/6/1944,Male,Bilbao,71.3527,64,false
1914218418,Pierce,Eick,peick14@va.gov,3/10/1969,Male,Sevilla,108.913,79,true
1611345200,Barney,Thonason,bthonason15@discuz.net,2/8/1963,Male,Valencia,177.8688,112,false
4177199214,Tabb,Hughlin,thughlin16@i2i.jp,12/13/1969,Male,Bilbao,157.9058,117,false
9841995263,Dominik,Matous,dmatous17@va.gov,2/10/1967,Male,Valencia,119.2311,114,false
1359210261,Wain,Coolbear,wcoolbear18@rambler.ru,4/11/1980,Male,Madrid,115.4387,74,false
1668097559,Lindsay,Kobpac,lkobpac19@imdb.com,6/25/1980,Male,Sevilla,90.7464,116,true
0755609913,Karoly,Mole,kmole1a@twitter.com,5/23/1969,,,91.2501,95,false
9279096443,Cyril,Nodes,cnodes1b@themeforest.net,12/18/1953,Male,Madrid,123.3719,78,true
5658653800,Yuma,Hallifax,yhallifax1c@utexas.edu,12/17/1974,Male,Bilbao,164.7255,107,true
9482930029,Durand,Bamborough,dbamborough1d@pinterest.com,11/17/1956,Male,Barcelona,188.4874,115,false
0291128211,Bradly,Rankcom,brankcom1e@bizjournals.com,8/5/1973,Male,Barcelona,125.2011,103,false
3276178893,Domeniga,Carmody,dcarmody1f@bravesites.com,3/19/1953,Female,Barcelona,88.3188,107,false
8263517818,Tanitansy,Sange,tsange1g@de.vu,1/16/1973,Female,Sevilla,97.8565,100,
7173383587,Bruce,Brotherhood,bbrotherhood1h@sciencedirect.com,12/27/1974,Male,Madrid,151.421,95,false
8894434427,Pepi,Hardstaff,phardstaff1i@clickbank.net,9/18/1978,Female,Valencia,114.2843,66,false
1228333408,Ivar,Seaman,iseaman1j@cocolog-nifty.com,11/27/1968,Male,Bilbao,179.5711,76,true
8594443358,Shawn,Conwell,sconwell1k@apache.org,12/30/1946,Female,Sevilla,172.1787,112,false
6893142986,Lorry,Mayman,lmayman1l@cornell.edu,12/20/1963,Female,Bilbao,180.4253,74,true
9489514322,Kerry,Schoenrock,kschoenrock1m@purevolume.com,7/1/1951,Female,Bilbao,106.403,86,false
6631066638,Gael,Cadalleder,gcadalleder1n@patch.com,6/4/1957,Female,Barcelona,187.4786,87,false
3859691813,Josefina,Steggals,jsteggals1o@a8.net,7/25/1946,Female,Bilbao,177.4713,85,
3745471504,Shellysheldon,Sedge,ssedge1p@slashdot.org,7/3/1945,Male,Valencia,83.1035,92,false
8576938200,Isahella,Pawellek,ipawellek1q@miibeian.gov.cn,7/9/1955,Female,Madrid,183.4067,105,true
1065390424,Charlene,Bucham,cbucham1r@jimdo.com,10/25/1957,Female,Barcelona,124.6727,92,false
4558748124,Myranda,Dissman,mdissman1s@samsung.com,6/25/1943,Female,Sevilla,120.2545,91,
6311655276,Devin,Rosborough,drosborough1t@histats.com,11/27/1960,Male,Valencia,162.7009,104,false
7691523351,Julie,Anstey,janstey1u@a8.net,4/23/1973,Male,Valencia,111.5471,100,true
8468533777,Tracie,Ericssen,tericssen1v@latimes.com,1/30/1964,Female,Valencia,97.832,65,false
0448260921,Tamarra,Laurenty,tlaurenty1w@goo.gl,9/10/1965,Female,Sevilla,148.8048,97,false
0808073680,Guinna,Burnes,gburnes1x@wikipedia.org,7/3/1959,Female,Madrid,116.7105,117,false
8874180853,Vail,Gieves,vgieves1y@nih.gov,11/25/1961,Male,Madrid,170.5869,107,false
6134683426,Franklin,Duerdin,fduerdin1z@diigo.com,10/24/1945,Male,Sevilla,115.2577,74,false
3255934893,Norah,Ritch,nritch20@cbc.ca,11/7/1955,Female,Madrid,109.717,88,false
6976802185,Fanechka,Schiersch,fschiersch21@biblegateway.com,11/8/1974,Female,Valencia,145.213,85,false
2901640648,Budd,Labrone,blabrone22@sakura.ne.jp,6/10/1966,Male,Bilbao,95.0892,76,false
4877904034,Temple,Burnapp,tburnapp23@wired.com,,Male,Sevilla,92.7423,69,true
5516414687,Bo,Salamon,bsalamon24@opensource.org,8/8/1959,Male,Bilbao,126.3521,61,true
9588494877,Ario,Schwerin,aschwerin25@dyndns.org,2/2/1967,Male,Madrid,168.3173,116,false
8119583930,Conrado,Smout,csmout26@odnoklassniki.ru,7/23/1945,Male,Valencia,140.0068,119,true
2731081791,Franky,Dennehy,fdennehy27@mac.com,7/28/1977,Female,Sevilla,176.5785,71,true
2307353895,Averill,Kauffman,akauffman28@fda.gov,4/28/1942,Male,Valencia,127.8618,84,
4790408043,Dyanne,Kitchingham,dkitchingham29@microsoft.com,7/1/1977,Female,Barcelona,108.9649,114,false
6895742697,Shandeigh,Hannaway,shannaway2a@multiply.com,10/30/1947,Female,Valencia,118.3103,101,true
9714433401,Denis,Spall,dspall2b@netlog.com,,Male,Valencia,97.6349,109,false
4495619764,Ruy,Patience,rpatience2c@chicagotribune.com,10/7/1960,Male,Valencia,154.9997,96,false
2746283263,Riordan,Dallow,rdallow2d@topsy.com,10/24/1957,Male,Sevilla,174.4326,83,false
3369688913,Yettie,Grennan,ygrennan2e@thetimes.co.uk,2/20/1946,Female,Bilbao,147.9333,119,true
5221118505,Gearalt,Segeswoeth,gsegeswoeth2f@ft.com,2/15/1952,Male,Madrid,157.9302,116,false
3357233169,Jaye,Kervin,jkervin2g@moonfruit.com,9/3/1973,Male,Valencia,131.8753,78,true
1125498331,Griffith,Klima,gklima2h@hatena.ne.jp,5/16/1955,Male,Barcelona,135.5885,119,false
2383885819,Oates,Inglesant,oinglesant2i@intel.com,11/5/1960,Male,Madrid,179.2766,109,false
7887327822,Dario,Sultana,dsultana2j@rambler.ru,6/3/1944,Male,Bilbao,160.685,61,true
,Mallissa,Blackster,mblackster2k@qq.com,2/2/1947,Female,Barcelona,176.4332,62,false
0614697557,Chane,de Almeida,cdealmeida2l@ning.com,3/2/1942,Male,Barcelona,112.3487,62,false
7581520994,Marcie,Malicki,mmalicki2m@google.de,5/29/1957,Female,Madrid,73.7593,102,true
1148583025,Beckie,Lauret,blauret2n@miitbeian.gov.cn,4/5/1968,Female,Valencia,122.5037,110,true
4189446025,Olenolin,Airs,oairs2o@gnu.org,12/22/1942,Male,Barcelona,89.8427,82,false
8997458353,Ev,Ventum,eventum2p@networkadvertising.org,6/30/1954,Male,Bilbao,110.8191,86,false
0063695383,Waverley,Carne,wcarne2q@arizona.edu,8/26/1964,Male,Bilbao,100.2773,74,false
5153923231,Lodovico,Petrozzi,lpetrozzi2r@homestead.com,6/27/1940,Male,Sevilla,123.4699,84,false
9877122103,Minetta,Winship,mwinship2s@hugedomains.com,2/26/1950,Female,Valencia,118.7298,97,false
8473505018,Veronike,Gonzalo,vgonzalo2t@mozilla.com,4/24/1964,Female,Sevilla,156.0051,112,false
8504886042,Lincoln,Bartod,lbartod2u@acquirethisname.com,1/27/1953,Male,Bilbao,153.58,92,false
8614155220,Ebenezer,Hacard,ehacard2v@zimbio.com,3/26/1963,Male,Madrid,182.5401,71,true
2555178724,Mathias,Klaesson,mklaesson2w@sohu.com,11/23/1953,Male,Barcelona,92.4978,87,true
5336294152,Puff,Jansik,pjansik2x@baidu.com,5/11/1977,Male,Valencia,100.4156,73,true
3438328607,Tabby,Dartnall,tdartnall2y@google.cn,5/2/1969,Male,Sevilla,123.8317,118,false
0979650607,Marsh,Seath,mseath2z@shutterfly.com,6/4/1962,Male,Valencia,126.2885,75,false
1519167717,Belita,Etridge,betridge30@utexas.edu,,Female,Bilbao,158.2493,70,false
1250257174,Catarina,Robken,crobken31@mashable.com,10/15/1979,Female,Sevilla,94.827,106,
8761694959,Rene,Tear,rtear32@1688.com,7/26/1955,Male,Madrid,98.3516,81,false
8021027851,Bondon,Buckmaster,bbuckmaster33@soup.io,6/4/1955,Male,Valencia,138.8665,74,true
8460787060,Lyle,Matterson,lmatterson34@google.it,3/30/1947,Male,Madrid,98.799,96,true
1217875190,Dallas,Leroux,dleroux35@spotify.com,2/23/1954,Male,Madrid,95.2707,97,true
3142869476,Elizabeth,Casper,ecasper36@usgs.gov,9/22/1961,Female,Madrid,138.2458,116,false
9806856783,Vikki,Lamont,vlamont37@nifty.com,9/9/1966,Female,Barcelona,76.5879,66,false
3113353483,Pietrek,Coaten,pcoaten38@usa.gov,4/12/1957,Male,Madrid,166.8014,115,false
6643088968,Lorenzo,Writer,lwriter39@miitbeian.gov.cn,2/22/1941,Male,Bilbao,139.9296,99,true
4998243845,Norina,Davidge,ndavidge3a@sfgate.com,2/7/1956,Female,Barcelona,160.1005,102,true
2960852605,Daryl,Heyfield,dheyfield3b@odnoklassniki.ru,11/28/1969,Male,Madrid,154.0065,112,false
4018272766,Leone,Maslin,lmaslin3c@google.ru,3/23/1960,Female,Bilbao,79.0387,76,false
2102387534,Boniface,Glawsop,bglawsop3d@odnoklassniki.ru,8/14/1964,Male,Valencia,103.1042,108,true
9836802460,Carolee,Saffrin,csaffrin3e@smh.com.au,1/10/1971,Female,Madrid,86.8564,93,false
7902539627,Joela,Joist,jjoist3f@sourceforge.net,2/19/1949,Female,Bilbao,184.1881,93,false
2485505179,Gaby,Catterall,gcatterall3g@posterous.com,8/7/1974,Female,Sevilla,112.3527,60,false
1388686236,Barth,Cullnean,bcullnean3h@barnesandnoble.com,9/10/1962,Male,Sevilla,189.5209,78,true
3317388404,Hannah,Wing,hwing3i@msu.edu,12/13/1976,Female,Sevilla,185.9942,118,false
7576981318,Holmes,Softley,hsoftley3j@mozilla.org,2/7/1946,Male,Madrid,160.8086,107,false
7330877999,Bart,Coytes,bcoytes3k@blogtalkradio.com,4/21/1944,Male,Madrid,161.7687,85,true
1711390348,Salomo,Stailey,sstailey3l@yahoo.co.jp,12/1/1967,Male,Barcelona,99.9118,83,true
6879441157,Feodora,Torritti,ftorritti3m@t-online.de,8/5/1964,Female,Barcelona,176.6024,78,
1816997358,Darb,Windle,dwindle3n@bloglovin.com,7/7/1964,Male,Bilbao,141.2959,120,false
7326240817,Noelyn,Vedyaev,nvedyaev3o@baidu.com,6/25/1965,Female,Valencia,169.6986,66,false
5453163860,Vern,Endersby,vendersby3p@sciencedirect.com,12/9/1972,Male,Madrid,155.2626,95,false
2528131860,Phylis,Kench,pkench3q@newyorker.com,4/20/1960,Female,Bilbao,117.9418,96,true
9605686082,Taber,Huton,thuton3r@nbcnews.com,5/4/1966,Male,Sevilla,108.2006,79,false
6044942872,Grenville,Rabley,grabley3s@admin.ch,5/1/1971,Male,Madrid,185.9716,114,true
9283380525,Kari,Turfitt,kturfitt3t@youku.com,5/13/1944,Female,Sevilla,182.3049,103,true
2226128794,Judith,Manis,jmanis3u@geocities.jp,2/9/1956,Female,Bilbao,150.7828,97,false
6492247191,Morganne,Gandey,mgandey3v@devhub.com,6/7/1948,Female,Barcelona,84.9676,84,false
0042759692,Sofia,Sawter,ssawter3w@devhub.com,11/13/1948,Female,Madrid,158.2732,98,false
9313144921,Traver,Kluss,tkluss3x@sourceforge.net,4/21/1962,Male,Sevilla,87.1627,109,true
2607785618,Joycelin,Traill,jtraill3y@wikia.com,10/15/1954,Female,Valencia,189.8137,100,false
9367049668,Brod,Barnett,bbarnett3z@alexa.com,6/26/1979,Male,Madrid,174.7882,103,false
4854914963,Dennet,Passingham,dpassingham40@dedecms.com,3/22/1969,Male,Sevilla,166.9569,108,false
2920334867,Lissi,Mauger,lmauger41@nymag.com,11/2/1976,Female,Barcelona,146.5296,83,false
4623492877,Marleah,Macias,mmacias42@acquirethisname.com,11/27/1978,Female,Bilbao,149.3103,60,true
2855892570,Chicky,Hendin,chendin43@blogspot.com,1/3/1946,Male,Bilbao,125.3187,117,false
5571376783,Neala,Rozec,nrozec44@slate.com,8/26/1974,Female,Bilbao,142.3185,104,true
9150511335,Robina,Wloch,rwloch45@mozilla.org,,Female,Valencia,122.9892,85,true
9234343549,Mateo,Tubb,mtubb46@shinystat.com,11/27/1957,Male,Bilbao,102.0439,109,true
9918334916,Angele,Stilliard,astilliard47@blinklist.com,3/20/1958,Female,Bilbao,157.7976,73,false
4467999248,Jehanna,Harston,jharston48@theglobeandmail.com,,Female,Sevilla,178.5918,96,false
3567630644,Gian,Pallent,gpallent49@nytimes.com,10/20/1962,Male,Barcelona,79.3127,74,false
6480005953,Courtney,Buck,cbuck4a@ehow.com,9/17/1953,Male,Bilbao,179.8158,102,true
5670154681,Wendall,Bowgen,wbowgen4b@ox.ac.uk,10/4/1957,Male,Sevilla,110.1524,107,false
8638619294,Kaye,Townes,ktownes4c@1und1.de,1/21/1956,Female,Valencia,163.3658,116,true
0866628452,Gwenni,Burdekin,gburdekin4d@tinyurl.com,8/14/1941,Female,Barcelona,80.7182,94,false
6246783422,Matty,Lambertz,mlambertz4e@youku.com,1/13/1967,Male,Sevilla,186.4547,63,true
6407137403,Haley,Loftie,hloftie4f@netlog.com,,Male,Valencia,129.2241,79,false
9729045712,Ira,MacWilliam,imacwilliam4g@example.com,11/27/1960,Female,Barcelona,189.2805,98,true
1149307773,Chan,Hilhouse,chilhouse4h@storify.com,11/1/1963,Male,Sevilla,110.9176,100,true
3481035926,Lilian,Stansbie,lstansbie4i@yahoo.co.jp,5/19/1958,Female,Valencia,91.2289,87,
1106130367,Lilian,Blumire,lblumire4j@mashable.com,7/31/1958,,,88.6403,101,true
6212669457,Sydel,Grundle,sgrundle4k@utexas.edu,11/6/1950,Female,Madrid,149.4428,78,true
8573149957,Marielle,Greenside,mgreenside4l@gmpg.org,6/2/1976,Female,Madrid,154.3454,66,true
2828205037,Lizzie,Semeniuk,lsemeniuk4m@patch.com,8/7/1946,Female,Sevilla,189.8592,81,true
9851209929,Anthea,Haet,ahaet4n@vkontakte.ru,5/27/1979,Female,Madrid,129.1554,92,true
9921685058,Fabien,Shay,fshay4o@webs.com,5/27/1968,Male,Bilbao,163.234,111,true
5587098923,Thom,Thunnercliffe,tthunnercliffe4p@ameblo.jp,11/15/1950,Male,Madrid,88.4606,115,false
9531318549,Ambrose,Twells,atwells4q@e-recht24.de,9/16/1974,Male,Barcelona,76.3259,85,true
6535695646,Petronilla,Rainton,prainton4r@51.la,8/6/1949,Female,Bilbao,124.4406,113,true
0225974959,Sal,Kropp,skropp4s@goo.gl,1/2/1967,Male,Madrid,151.5265,116,true
7985023607,Lizbeth,Claypoole,lclaypoole4t@indiatimes.com,11/17/1967,Female,Valencia,103.4889,87,
,Sherry,Girodon,sgirodon4u@yale.edu,9/25/1979,Female,Barcelona,138.8328,107,false
6019953998,Marla,Crummey,mcrummey4v@ycombinator.com,5/13/1953,Female,Sevilla,182.8263,64,false
8159909624,Dian,Silverwood,dsilverwood4w@ycombinator.com,1/17/1956,Female,Bilbao,162.4436,100,false
7148564549,Abeu,Bennike,abennike4x@hugedomains.com,9/27/1980,Male,Sevilla,141.4591,90,false
7872040549,Phelia,Blaine,pblaine4y@mysql.com,4/6/1969,Female,Valencia,78.0404,88,false
6921709973,Mitchael,Knibbs,mknibbs4z@google.co.uk,5/16/1974,Male,Bilbao,155.5678,119,false
8628568239,Margette,Fishbourne,mfishbourne50@nymag.com,9/17/1951,Female,Bilbao,178.7357,87,false
5891234807,Currey,Sallowaye,csallowaye51@desdev.cn,4/4/1972,Male,Bilbao,187.3627,103,false
5885240914,Gasparo,Dodgshun,gdodgshun52@deviantart.com,12/21/1974,Male,Barcelona,139.8258,106,true
6945813258,Orelle,Padgett,opadgett53@mit.edu,1/9/1974,Female,Valencia,118.8451,98,false
7072328211,Niven,Moyse,nmoyse54@amazonaws.com,7/15/1952,Male,Valencia,136.4191,77,
2491278545,Fernanda,Toomey,ftoomey55@economist.com,5/15/1952,Female,Sevilla,92.3563,87,false
3349848931,Addy,Hammatt,ahammatt56@huffingtonpost.com,1/6/1954,Male,Valencia,78.7765,68,false
3782066510,Adams,Cosley,acosley57@amazon.co.uk,9/21/1943,Male,Madrid,142.8972,61,true
3709175453,Hillery,McCafferky,hmccafferky58@scientificamerican.com,2/18/1980,Male,Barcelona,160.9469,120,false
9649287876,Mohandas,Stabbins,mstabbins59@newyorker.com,2/15/1961,Male,Sevilla,144.9508,71,true
2003580638,Tull,Wrennall,twrennall5a@irs.gov,5/19/1944,Male,Barcelona,147.1548,110,false
2889329852,Hayden,Plumridge,hplumridge5b@exblog.jp,,Male,Bilbao,168.6527,108,false
4753986799,Jorge,Bellas,jbellas5c@blogspot.com,7/28/1967,Male,Madrid,115.676,99,false
4315874655,Simonette,Freiberg,sfreiberg5d@accuweather.com,9/13/1975,Female,Bilbao,95.9615,117,false
1550905937,Bartholomeo,Covert,bcovert5e@bloglovin.com,6/14/1976,Male,Sevilla,93.389,101,false
4403510531,Dedra,Lygoe,dlygoe5f@t.co,5/25/1945,Female,Valencia,166.2207,116,false
6815441865,Lura,Stobo,lstobo5g@usa.gov,5/31/1969,Female,Madrid,185.7512,67,false
4760387102,Daron,Kluger,dkluger5h@usnews.com,6/2/1942,Male,Sevilla,188.5132,102,true
3125891981,Con,Drakes,cdrakes5i@cornell.edu,7/30/1971,Male,Valencia,149.9763,96,false
6065191515,Hoebart,Aikett,haikett5j@bloglines.com,11/23/1949,Male,Madrid,189.7364,89,true
,Danie,Seamark,dseamark5k@photobucket.com,9/7/1973,Male,Valencia,140.0099,115,true
9412142412,Arin,Whillock,awhillock5l@over-blog.com,12/8/1974,Male,Valencia,100.132,64,true
0884512363,Nobie,Hebbes,nhebbes5m@mozilla.com,1/14/1964,Male,Barcelona,136.8922,68,true
4040583361,Elly,Spellard,espellard5n@goodreads.com,12/13/1965,Female,Barcelona,71.3287,63,false
7381085836,Willy,Eburne,weburne5o@networkadvertising.org,5/21/1958,Male,Bilbao,181.3667,118,true
,Cyrus,Stayt,cstayt5p@etsy.com,9/27/1953,Male,Sevilla,171.0728,97,true
5240142076,Redford,Florez,rflorez5q@bbb.org,8/31/1967,Male,Bilbao,134.5076,108,true
9823506256,Reg,O'Dogherty,rodogherty5r@github.com,1/23/1963,Male,Valencia,109.8767,104,true
3394655519,Jaimie,MacDowal,jmacdowal5s@newsvine.com,3/27/1944,Male,Barcelona,169.3456,117,false
3249639451,Tallia,Abby,tabby5t@4shared.com,11/28/1943,Female,Valencia,117.7381,78,true
1203046227,Nani,Brigden,nbrigden5u@telegraph.co.uk,4/20/1968,Female,Sevilla,119.3265,71,true
8677456368,Ebenezer,Costanza,ecostanza5v@newsvine.com,5/12/1968,Male,Bilbao,95.5153,75,false
5210888835,Emlyn,Stuckey,estuckey5w@accuweather.com,5/19/1968,Female,Bilbao,133.083,95,true
6430901971,Julianna,Langcaster,jlangcaster5x@google.de,2/28/1955,Female,Barcelona,129.5583,92,true
7224099457,Dougy,Philips,dphilips5y@gmpg.org,11/16/1962,Male,Barcelona,150.6543,101,
0801242185,Hazlett,Cornes,hcornes5z@gov.uk,2/6/1953,Male,Barcelona,151.3726,114,false
8273920453,Beau,O'Doireidh,bodoireidh60@geocities.com,10/2/1945,Male,Barcelona,132.2088,65,true
4625230829,Slade,Rue,srue61@boston.com,11/12/1969,Male,Madrid,147.8208,118,false
1540386376,Dian,Gowanson,dgowanson62@gravatar.com,1/26/1973,Female,Barcelona,170.1505,60,false
3612002058,Joshia,Kille,jkille63@networksolutions.com,1/22/1955,Male,Sevilla,185.7883,76,false
4792970873,Dov,Wingham,dwingham64@mit.edu,3/4/1979,Male,Valencia,113.1225,79,false
0418104387,Fredrick,McKinlay,fmckinlay65@census.gov,11/8/1958,Male,Sevilla,189.871,79,false
7360354234,Tracie,Nockles,tnockles66@networkadvertising.org,2/24/1948,Female,Madrid,121.6432,60,false
2436007535,Perkin,Nertney,pnertney67@epa.gov,11/29/1943,Male,Barcelona,135.8286,95,true
1027431526,Gordie,De Hoogh,gdehoogh68@facebook.com,6/29/1951,Male,Bilbao,141.1306,81,false
1543195784,Pattie,Foch,pfoch69@wired.com,5/16/1971,Male,Valencia,96.4617,114,false
0002182351,Cortie,Domb,cdomb6a@alexa.com,4/5/1948,Male,Bilbao,180.2256,112,
9945773518,John,Keatley,jkeatley6b@businessweek.com,,Male,Barcelona,152.8637,94,false
4107287025,Ermanno,Ickeringill,eickeringill6c@marriott.com,6/7/1960,Male,Sevilla,119.7425,94,true
2453489917,Aylmer,Blackman,ablackman6d@digg.com,12/3/1968,Male,Valencia,128.1743,89,true
5629557696,Hermann,Kightly,hkightly6e@europa.eu,10/30/1945,Male,Sevilla,94.6513,97,false
2922536041,Harriette,Tremontana,htremontana6f@dion.ne.jp,4/12/1971,Female,Valencia,79.4991,108,false
8518515149,Carl,O'Currigan,cocurrigan6g@godaddy.com,4/16/1952,Male,Valencia,103.8688,117,true
5134801657,Alberto,Brinicombe,abrinicombe6h@bbb.org,1/29/1950,Male,Bilbao,94.1179,116,true
9721674451,Odette,Sykora,osykora6i@blinklist.com,9/5/1947,Female,Valencia,183.1787,114,true
3490746899,Agnella,Cassey,acassey6j@weibo.com,2/22/1949,Female,Barcelona,102.2709,95,false
3526434824,Milton,Childes,mchildes6k@jalbum.net,9/20/1976,Male,Bilbao,168.5496,103,true
2241841153,Kylie,Horder,khorder6l@jigsy.com,9/28/1972,Male,Sevilla,159.9563,88,false
4987014599,Olympe,Furlow,ofurlow6m@timesonline.co.uk,1/17/1967,Female,Sevilla,159.9459,112,false
5677615498,Vernice,Babonau,vbabonau6n@hatena.ne.jp,1/12/1952,Female,Bilbao,76.3894,62,false
9285277322,Lemar,Blazi,lblazi6o@youtube.com,12/21/1967,Male,Madrid,184.9492,88,false
0648753859,Kerrin,Wellstead,kwellstead6p@berkeley.edu,9/8/1972,Female,Bilbao,105.2822,100,false
3157217291,Rakel,Gleave,rgleave6q@kickstarter.com,5/6/1948,Female,Valencia,93.0592,74,false
8878904120,Lizette,Dibdall,ldibdall6r@linkedin.com,9/19/1951,,,162.0071,113,true
4638864120,Maible,Gillson,mgillson6s@plala.or.jp,,Female,Sevilla,94.5177,65,false
1909825069,Ebenezer,Billows,ebillows6t@sciencedirect.com,7/27/1980,Male,Sevilla,72.7026,117,false
9346971452,Vita,Macauley,vmacauley6u@europa.eu,3/3/1973,Female,Barcelona,96.7919,85,true
6899667495,Valene,Stopp,vstopp6v@nasa.gov,7/5/1976,Female,Barcelona,134.8977,113,true
2804472922,Burnaby,Josowitz,bjosowitz6w@omniture.com,5/20/1963,Male,Valencia,177.6184,97,
9198410857,Merridie,Ebbs,mebbs6x@jigsy.com,12/1/1976,Female,Valencia,123.5459,108,false
2729574107,Sibyl,Parfrey,sparfrey6y@purevolume.com,5/28/1966,Male,Madrid,160.3099,93,false
4088531914,Flossi,Gherardesci,fgherardesci6z@nyu.edu,,Female,Barcelona,94.5244,92,false
6645300166,Bernelle,Coverley,bcoverley70@sakura.ne.jp,5/5/1980,Female,Madrid,110.2229,99,true
9354913679,Ettore,Mensler,emensler71@techcrunch.com,7/11/1954,Male,Barcelona,84.6429,111,false
7454547117,Benjamen,Kisby,bkisby72@histats.com,5/11/1960,Male,Valencia,174.8059,88,true
9698875077,Rowan,Casazza,rcasazza73@webs.com,6/9/1944,Male,Barcelona,104.8642,116,false
9337590018,Bebe,Pyecroft,bpyecroft74@t-online.de,1/24/1962,Female,Barcelona,74.3902,92,false
9189092376,Gabi,Gheraldi,ggheraldi75@surveymonkey.com,10/26/1954,Male,Sevilla,73.328,116,true
3733860926,Neils,Brimilcombe,nbrimilcombe76@example.com,4/23/1949,Male,Bilbao,165.7741,81,true
6589894566,Teodorico,De La Haye,tdelahaye77@oracle.com,3/6/1958,Male,Sevilla,113.5486,67,
4767291909,Ingrim,Skentelbery,iskentelbery78@cbsnews.com,12/9/1959,Male,Valencia,189.9864,77,true
4376636371,Tad,Ferrarese,tferrarese79@topsy.com,11/6/1958,Male,Sevilla,149.9046,79,true
